"close_price_variation", "high_price_variation", "low_price_variation", "open_price_variation", "volumeFrom_variation", "volumeTo_variation", "neg", "neu", "pos"
0.0518, 0.0380, 0.0215, 0.0014, -0.9251, -5855.7030, 1.96, 90.31, 7.73
-0.1597, -0.0017, -0.1079, 0.0518, 0.6858, 4337.6982, 2.07, 89.02, 8.91
-0.0710, -0.1601, -0.0824, -0.1619, -0.7105, -4500.2248, 2.41, 88.46, 9.13
0.0265, -0.0444, -0.0086, -0.0566, 0.1645, 1039.8749, 2.32, 88.24, 9.31
-0.0601, 0.0000, -0.0163, 0.0140, -0.1407, -888.0011, 1.84, 88.83, 9.33
-0.0013, -0.0444, -0.0076, -0.0601, -0.1392, -878.6020, 2.13, 90.04, 7.83
0.0162, 0.0198, 0.0079, -0.0017, 0.0724, 454.9416, 2.55, 88.15, 9.30
-0.0192, -0.0090, -0.0070, 0.0167, 0.0600, 379.2132, 2.37, 88.23, 9.40
0.0127, -0.0033, 0.0043, -0.0200, -0.1846, -1163.6255, 1.96, 89.78, 8.26
-0.0441, -0.0062, -0.0449, 0.0136, 0.0440, 277.6592, 2.37, 88.93, 8.70
-0.0505, -0.0397, -0.0387, -0.0313, 0.2159, 1404.5377, 2.28, 89.03, 8.69
0.0024, -0.0373, 0.0005, -0.0656, -0.3073, -1982.7495, 2.28, 89.21, 8.51
0.0229, 0.0054, 0.0041, 0.0044, 0.2503, 1576.3001, 1.90, 88.84, 9.27
-0.0140, -0.0033, 0.0086, 0.0229, -0.1898, -1193.0058, 2.12, 87.79, 10.09
-0.0033, -0.0121, -0.0027, -0.0091, 0.0373, 262.4149, 2.44, 88.11, 9.46
-0.0370, -0.0040, -0.0449, -0.0086, 0.4825, 3009.2520, 2.50, 89.34, 8.17
0.0084, -0.0315, -0.0025, -0.0367, -0.5148, -3225.9619, 2.24, 89.13, 8.63
-0.0122, 0.0075, 0.0062, 0.0076, 0.0361, 214.4024, 2.06, 88.32, 9.61
0.0105, -0.0006, -0.0008, -0.0127, -0.1311, -827.7753, 2.68, 87.79, 9.53
0.0505, 0.0405, 0.0118, 0.0118, 0.2392, 1506.0090, 2.48, 87.72, 9.68
0.0516, 0.0675, 0.0505, 0.0505, 0.6756, 4258.4751, 1.83, 88.66, 9.52
0.0375, 0.0263, 0.0413, 0.0413, -0.6362, -3977.6032, 2.01, 88.07, 9.92
0.0230, 0.0354, 0.0478, 0.0478, -0.1755, -1132.7800, 2.19, 87.87, 9.95
0.0017, 0.0033, 0.0230, 0.0230, -0.0105, -67.6135, 2.32, 88.22, 9.46
-0.0208, -0.0127, -0.0190, 0.0017, -0.0642, -404.9332, 2.48, 87.05, 10.48
-0.0235, -0.0268, -0.0332, -0.0208, 0.1302, 832.2494, 2.33, 88.61, 9.06
0.0371, 0.0206, 0.0017, -0.0308, 0.0105, 57.7299, 2.81, 88.10, 9.09
0.0606, 0.0542, 0.0450, 0.0444, 0.0623, 393.0140, 2.89, 87.84, 9.28
0.0027, 0.0041, 0.0574, 0.0606, -0.2010, -1269.8033, 2.57, 88.05, 9.38
-0.0035, 0.0075, 0.0008, 0.0027, -0.0095, -59.3900, 2.08, 88.38, 9.54
-0.0231, -0.0109, -0.0284, -0.0035, 0.4798, 3023.5371, 2.19, 88.35, 9.45
0.0089, -0.0136, 0.0068, -0.0231, -0.4578, -2884.6574, 2.39, 87.54, 10.08
-0.0284, -0.0022, -0.0195, 0.0089, 0.3399, 2169.4028, 2.41, 87.54, 10.04
-0.0071, -0.0274, -0.0100, -0.0284, -0.3143, -1998.3388, 2.77, 87.65, 9.57
0.0071, 0.0109, -0.0011, -0.0071, -0.0560, -363.1795, 2.32, 87.75, 9.93
0.0011, 0.0078, 0.0117, 0.0105, -0.0128, -80.5205, 1.92, 88.68, 9.40
-0.0106, -0.0124, -0.0216, -0.0022, 0.2200, 1385.2290, 2.53, 88.39, 9.09
-0.0247, -0.0173, -0.0146, -0.0106, -0.0493, -308.0429, 3.02, 86.76, 10.22
0.0249, 0.0005, -0.0160, -0.0247, -0.1545, -976.3990, 2.45, 87.71, 9.84
-0.0049, 0.0025, 0.0373, 0.0249, -0.0639, -401.6293, 2.40, 88.38, 9.22
0.0349, 0.0274, 0.0000, -0.0049, 0.2744, 1730.8156, 2.51, 88.28, 9.21
0.0241, 0.0238, 0.0304, 0.0349, -0.1318, -822.9995, 2.46, 88.91, 8.62
0.1512, 0.1719, 0.0513, 0.0268, 1.0493, 6593.5692, 2.16, 88.29, 9.55
0.0041, -0.0103, 0.1325, 0.1510, -1.3112, -8227.1657, 2.30, 88.22, 9.48
0.0078, 0.0016, 0.0191, 0.0043, 0.2016, 1266.4115, 2.98, 87.41, 9.61
-0.0100, 0.0024, -0.0151, 0.0076, -0.3802, -2397.2041, 2.70, 88.47, 8.83
0.2211, 0.2087, 0.0169, -0.0089, 1.9060, 11989.3820, 2.98, 87.73, 9.29
-0.0343, 0.0027, 0.1859, 0.2010, -1.5780, -9917.8997, 2.72, 86.92, 10.35
0.0049, -0.0260, -0.0183, -0.0048, -0.0684, -391.7165, 2.61, 87.82, 9.57
0.0029, -0.0003, -0.0133, -0.0365, -0.0135, -113.7958, 2.89, 86.65, 10.46
-0.0626, -0.0027, -0.0232, 0.0333, 0.1905, 1257.6326, 2.29, 88.03, 9.69
0.0157, -0.0445, -0.0281, -0.0626, -0.1079, -750.2987, 2.43, 87.25, 10.31
-0.0292, 0.0043, 0.0146, 0.0159, -0.4590, -2875.2151, 2.45, 87.41, 10.14
0.0405, 0.0044, 0.0056, -0.0083, 0.1665, 1031.7028, 1.93, 87.35, 10.57
-0.0089, 0.0138, 0.0261, 0.0194, -0.0489, -306.7381, 2.22, 86.28, 11.50
0.2910, 0.2683, 0.0011, 0.0049, 4.8991, 30891.5562, 2.73, 88.23, 9.04
-0.0112, 0.0234, 0.2778, 0.2845, -4.7241, -29784.8609, 2.59, 87.32, 10.08
-0.0136, -0.0363, -0.0385, -0.0209, -0.0471, -286.8635, 3.01, 87.29, 9.56
0.0512, 0.0524, 0.0228, -0.0120, 0.3258, 2108.2647, 2.65, 88.03, 9.32
0.0025, 0.0048, 0.0342, 0.0523, 0.6524, 4074.5066, 2.65, 88.54, 8.81
